Date,AGGU.L,EIMI.L,FUSD.L,SMGB.L,VWRA.L,ZPRV.DE
2022-08-01,5.164000034332275,29.25,7.390102863311768,17.207000732421875,97.7699966430664,51.83000183105469
2022-09-01,4.985000133514404,26.0,6.885377883911133,15.8100004196167,89.55000305175781,48.45000076293945
2022-10-01,4.983500003814697,25.309999465942383,7.3691277503967285,15.52400016784668,93.38999938964844,52.880001068115234
2022-11-01,5.070000171661377,28.899999618530273,7.615611553192139,16.983999252319336,98.9000015258789,51.869998931884766
2022-12-01,5.026000022888184,28.639999389648438,7.506778240203857,15.871000289916992,96.86000061035156,47.97999954223633
2023-01-01,5.140999794006348,30.93000030517578,7.799777030944824,18.114999771118164,103.30000305175781,52.400001525878906
2023-02-01,5.052000045776367,28.940000534057617,7.643433094024658,18.65999984741211,100.95999908447266,53.47999954223633
2023-03-01,5.165999889373779,29.81999969482422,7.777616024017334,20.100000381469727,103.54000091552734,48.099998474121094
2023-04-01,5.192999839782715,29.600000381469727,7.941758632659912,18.454999923706055,105.19999694824219,46.83000183105469
2023-05-01,5.164000034332275,28.790000915527344,7.743854999542236,22.094999313354492,103.95999908447266,46.6150016784668
2023-06-01,5.171000003814697,30.350000381469727,8.263238906860352,22.55500030517578,110.19999694824219,50.529998779296875
2023-07-01,5.165999889373779,32.13999938964844,8.558440208435059,23.309999465942383,114.22000122070312,53.599998474121094
2023-08-01,5.160999774932861,30.219999313354492,8.372182846069336,22.912500381469727,111.27999877929688,52.72999954223633
2023-09-01,5.064000129699707,29.420000076293945,8.009065628051758,22.207500457763672,106.91999816894531,51.349998474121094
2023-10-01,5.0320000648498535,28.139999389648438,7.751125812530518,21.297500610351562,103.16000366210938,47.88999938964844
2023-11-01,5.208000183105469,30.6299991607666,8.336495399475098,23.684999465942383,112.4800033569336,50.880001068115234
2023-12-01,5.36299991607666,31.799999237060547,8.894140243530273,26.372499465942383,118.44000244140625,57.150001525878906
2024-01-01,5.355000019073486,30.75,9.013800621032715,27.5,119.45999908447266,56.150001525878906
2024-02-01,5.322000026702881,31.700000762939453,9.234172821044922,30.735000610351562,123.44000244140625,56.91999816894531
2024-03-01,5.366000175476074,32.59000015258789,9.686257362365723,32.412498474121094,127.73999786376953,59.91999816894531
2024-04-01,5.27400016784668,32.72999954223633,9.36121654510498,31.2549991607666,124.18000030517578,57.029998779296875
2024-05-01,5.327000141143799,33.0,9.53457260131836,32.82749938964844,127.45999908447266,58.040000915527344
2024-06-01,5.370999813079834,34.310001373291016,10.000514030456543,36.282501220703125,132.0,57.61000061035156
2024-07-01,5.4710001945495605,34.59000015258789,10.235219955444336,33.099998474121094,133.74000549316406,63.27000045776367
2024-08-01,5.539000034332275,34.83000183105469,10.346526145935059,31.81999969482422,136.0,60.83000183105469
2024-09-01,5.598999977111816,36.88999938964844,10.667844772338867,31.780000686645508,139.5399932861328,61.66999816894531
2024-10-01,5.517000198364258,35.290000915527344,10.541481971740723,31.74250030517578,137.05999755859375,62.939998626708984
2024-11-01,5.572000026702881,34.599998474121094,10.903556823730469,32.244998931884766,141.97999572753906,70.79000091552734
2024-12-01,5.547999858856201,34.13999938964844,10.559639930725098,33.310001373291016,139.33999633789062,65.19000244140625
2025-01-01,5.574999809265137,34.7400016784668,10.733028411865234,34.5525016784668,144.39999389648438,68.83000183105469
2025-02-01,5.618000030517578,34.5099983215332,10.510797500610352,31.30500030517578,141.25999450683594,65.05999755859375
2025-03-01,5.5929999351501465,34.83000183105469,10.09310531616211,27.607500076293945,136.10000610351562,59.060001373291016
2025-04-01,5.650000095367432,35.06999969482422,9.960657119750977,26.762500762939453,137.22000122070312,53.720001220703125
2025-05-01,5.638000011444092,36.77000045776367,10.544412612915039,30.139999389648438,145.77999877929688,57.060001373291016
2025-06-01,5.683000087738037,39.290000915527344,10.988058090209961,34.349998474121094,152.4600067138672,57.79999923706055
2025-07-01,5.690000057220459,39.810001373291016,11.335203170776367,36.59000015258789,155.4600067138672,60.75
2025-08-01,5.7129998207092285,40.720001220703125,11.505084037780762,35.99250030517578,158.5,63.38999938964844
2025-09-01,5.758999824523926,43.189998626708984,11.798260688781738,40.525001525878906,163.67999267578125,63.630001068115234
